model,season,Bounds,I_w,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,TSCV,0.7804695196345492,0.7643481674230281,0.7536166333195043,0.7713554705478702,0.7961987122322569,0.7731977006314418,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,TSCV,0.8284112747690896,0.7868158227690081,0.7920273358848549,0.8733356240237111,0.8455087846781704,0.8252197684249667,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,TSCV,0.8138486896512463,0.7777864266618141,0.820282967212286,0.8589535740868979,0.8473943765930738,0.8236532068410636,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,TSCV,0.8327835897975571,0.8045516141453553,0.7978329828098711,0.8254763963083684,0.8333639914852236,0.8188017149092751,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,TSCV,0.8189115461206432,0.7964084192609071,0.799616917813587,0.8157865104633113,0.8199933945488431,0.8101433576414584,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,prediction,50.17255131531445,52.016795891149,31.11872282603521,45.78925105566871,44.53532339888754,44.72652889741098,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,prediction,226.5337371826172,226.5337371826172,226.5337371826172,226.5337371826172,226.5337371826172,226.5337371826172,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,prediction,211.38951110839844,211.38951110839844,211.38951110839844,211.38951110839844,211.38951110839844,211.38951110839844,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,prediction,187.060546875,187.060546875,187.060546875,187.060546875,187.060546875,187.060546875,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,prediction,229.5982666015625,229.5982666015625,229.5982666015625,229.5982666015625,229.5982666015625,229.5982666015625,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,training,96.80702077407386,104.07413223813516,101.2308131394455,105.76960095648786,109.42748847385391,103.46181111639926,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,training,1275.3109130859375,1275.3109130859375,1275.3109130859375,1275.3109130859375,1275.3109130859375,1275.3109130859375,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,sera,training,715.076904296875,715.076904296875,715.076904296875,715.076904296875,715.076904296875,715.076904296875,978f49d7
